table_source,attibute,description,question,,,,,,,
PAYMENTS,id,,,,,,,,,
,created_at,,,,,,,,,Don't use in model
,changed_at,,,,,,,,,Use in model
,user,,,,,,,,,Don't understand
,batch,,,,,,,,,
,credits_x,,,,,,,,,
,state,,,,,,,,,
,type,,,,,,,,,
CREDITS,credits_y,,,,,,,,,
,is_active,,,,,,,,,
,is_verified,,,,,,,,,
,is_locked,,,,,,,,,
,wage,,,,,,,,,
,user_id,,,,,,,,,
ATLAS CECHU,all_intro-2022,,,,,,,,,
,atlas_vzorek-2023,,,,,,,,,
,atlas_vzorek-2024,,,,,,,,,
,all_intro-trendaro_panel_all,,,,,,,,,
,sex-woman,,,,,,,,,
,sex-man,,,,,,,,,
,age-15_17,,,,,,,,,
,age-18_24,,,,,,,,,
,age-25_34,,,,,,,,,
,age-35_44,,,,,,,,,
,age-45_54,,,,,,,,,
,age-55_64,,,,,,,,,
,age-65_plus,,,,,,,,,
,vaccine-covid_more,,,,,,,,,
,vaccine-covid_one,,,,,,,,,
,vaccine-covid_cannot,,,,,,,,,
,vaccine-covid_against,,,,,,,,,
,confession-catholic,,,,,,,,,
,confession-christian,,,,,,,,,
,confession-muslim,,,,,,,,,
,confession-jude,,,,,,,,,
,confession-other_confession,,,,,,,,,
,konopi-ne,,,,,,,,,
,konopi-lekarske,,,,,,,,,
,konopi-osobni,,,,,,,,,
,emobility_attitude-spatne,,,,,,,,,
,emobility_attitude-budoucnost,,,,,,,,,
,shared_attitude-ne,,,,,,,,,
,shared_attitude-budoucnost,,,,,,,,,
,soc_kapital-pomaha_emoc,,,,,,,,,
,soc_kapital-finance,,,,,,,,,
,soc_kapital-pravnik,,,,,,,,,
,soc_kapital-pomuze_nemoc,,,,,,,,,
,soc_kapital-pomuze_byt,,,,,,,,,
,soc_kapital-nema_pomaha_emoc,,,,,,,,,
,soc_kapital-nema_finance,,,,,,,,,
,soc_kapital-nema_pravnik,,,,,,,,,
,soc_kapital-nema_pomuze_nemoc,,,,,,,,,
,soc_kapital-nema_pomuze_byt,,,,,,,,,
,friends-doctor,,,,,,,,,
,friends-program,,,,,,,,,
,friends-instalater,,,,,,,,,
,friends-dodavka,,,,,,,,,
,friends-doucit,,,,,,,,,
,friends-urad,,,,,,,,,
,friends-stavebni,,,,,,,,,
,friends-mechanic,,,,,,,,,
,friends-police,,,,,,,,,
,friends-doctor_nema,,,,,,,,,
,friends-program_nema,,,,,,,,,
,friends-instalater_nema,,,,,,,,,
,friends-dodavka_nema,,,,,,,,,
,friends-doucit_nema,,,,,,,,,
,friends-urad_nema,,,,,,,,,
,friends-stavebni_nema,,,,,,,,,
,friends-mechanic_nema,,,,,,,,,
,friends-police_nema,,,,,,,,,
,social_support-no_one,,,,,,,,,
,social_support-many,,,,,,,,,
,pride_1-open_minded,,,,,,,,,
,pride_1-university_diploma,,,,,,,,,
,pride_1-luxury_car,,,,,,,,,
,pride_1-moral_principles,,,,,,,,,
,pride_1-job,,,,,,,,,
,pride_1-reliability,,,,,,,,,
,pride_1-unique,,,,,,,,,
,pride_1-children,,,,,,,,,
,pride_2-fitness,,,,,,,,,
,pride_2-house,,,,,,,,,
,pride_2-public,,,,,,,,,
,pride_2-art,,,,,,,,,
,pride_2-help,,,,,,,,,
,pride_2-popularity,,,,,,,,,
,pride_2-attractiveness,,,,,,,,,
,holiday_number-0,,,,,,,,,
,holiday_number-1,,,,,,,,,
,holiday_number-2,,,,,,,,,
,holiday_number-3,,,,,,,,,
,holiday_price-up15,,,,,,,,,
,holiday_price-15_39,,,,,,,,,
,holiday_price-above_40,,,,,,,,,
,holiday_tourist_type-no_tourists,,,,,,,,,
,holiday_tourist_type-tourist_attractions,,,,,,,,,
,holiday_abroad-travel_agency,,,,,,,,,
,holiday_abroad-organized_group,,,,,,,,,
,holiday_abroad-on_my_own,,,,,,,,,
,holiday_abroad_transport-car,,,,,,,,,
,holiday_abroad_transport-bus,,,,,,,,,
,holiday_abroad_transport-train,,,,,,,,,
,holiday_abroad_transport-airplane,,,,,,,,,
,holiday_abroad-same_destinations,,,,,,,,,
,holiday_abroad-new_destinations,,,,,,,,,
,holiday_out_europe-ne,,,,,,,,,
,holiday_out_europe-ano,,,,,,,,,
,holiday_abroad_activities-sea,,,,,,,,,
,holiday_abroad_activities-hiking,,,,,,,,,
,holiday_abroad_activities-sightseeing,,,,,,,,,
,holiday_abroad_activities-mountains,,,,,,,,,
,holiday_abroad_activities-skiing,,,,,,,,,
,holiday_abroad_sport-fitness,,,,,,,,,
,holiday_abroad_activities-diving,,,,,,,,,
,holiday_abroad_activities-biking,,,,,,,,,
,aim_stay_abroad-vacation,,,,,,,,,
,holiday_abroad-ano,,,,,,,,,
,holiday_abroad-cesko,,,,,,,,,
,holiday_abroad-both,,,,,,,,,
,holiday_cesko_activities-rybnik,,,,,,,,,
,holiday_cesko_activities-hiking,,,,,,,,,
,holiday_cesko_activities-sightseeing,,,,,,,,,
,holiday_cesko_activities-skiing,,,,,,,,,
,holiday_cesko_activities-fitness,,,,,,,,,
,holiday_cesko_activities-biking,,,,,,,,,
,holiday_cesko_activities-gastro,,,,,,,,,
,municipality_problems-s_active,,,,,,,,,
,country_problems-s_active,,,,,,,,,
,world_problems-s_active,,,,,,,,,
,owns-weekend_house,,,,,,,,,
,owns-garden,,,,,,,,,
,owns-other_land,,,,,,,,,
,pet-any,,,,,,,,,
,pet-dog,,,,,,,,,
,pet-cat,,,,,,,,,
,driving_licence-none,,,,,,,,,
,driving_licence-car,,,,,,,,,
,driving_licence-motorbike,,,,,,,,,
,driving_licence-bus,,,,,,,,,
,english-no,,,,,,,,,
,english-yes,,,,,,,,,
,english-well,,,,,,,,,
,english-fluent,,,,,,,,,
,foreign_language-german,,,,,,,,,
,foreign_language-russian,,,,,,,,,
,foreign_language-french,,,,,,,,,
,foreign_language-spanish,,,,,,,,,
,foreign_language-italian,,,,,,,,,
,leisure_program-bored,,,,,,,,,
,leisure_program-busy,,,,,,,,,
,weekend_schedule-weekend_open,,,,,,,,,
,weekend_schedule-weekend_planner,,,,,,,,,
,weekend_place-home,,,,,,,,,
,weekend_place-diverse,,,,,,,,,
,hazard-bet,,,,,,,,,
,hazard-slot_machine,,,,,,,,,
,hazard-number_lottery,,,,,,,,,
,leisure_activity-passive_fan,,,,,,,,,
,leisure_activity-active_fan,,,,,,,,,
,leisure_activity-gamer,,,,,,,,,
,leisure_activity-wellness,,,,,,,,,
,leisure_activity-active_art,,,,,,,,,
,leisure_activity-book,,,,,,,,,
,leisure_activity-shopping_market,,,,,,,,,
,leisure_activity-pub,,,,,,,,,
,leisure_activity-dinner_outside,,,,,,,,,
,leisure_activity-party,,,,,,,,,
,leisure_activity-wine,,,,,,,,,
,leisure_activity-curious,,,,,,,,,
,media_channels-cinema,,,,,,,,,
,leisure_activity-theatre,,,,,,,,,
,leisure_activity-museum,,,,,,,,,
,leisure_activity-concert,,,,,,,,,
,leisure_activity-disco_club,,,,,,,,,
,leisure_activity-shopping_mall,,,,,,,,,
,leisure_activity-cottage,,,,,,,,,
,leisure_activity-playground,,,,,,,,,
,leisure_activity-fun_kids,,,,,,,,,
,leisure_activity-outdoor,,,,,,,,,
,theatre-clasic_theater,,,,,,,,,
,theatre-students_theater,,,,,,,,,
,theatre-musical,,,,,,,,,
,theatre-new_circus,,,,,,,,,
,smoking-no_smoking,,,,,,,,,
,smoking-occasionally,,,,,,,,,
,smoking-daily,,,,,,,,,
,smoking-heavy,,,,,,,,,
,cigarettes-rolled,,,,,,,,,
,beer-never_yearly,,,,,,,,,
,beer-weekly_monthly,,,,,,,,,
,fastfood-no,,,,,,,,,
,fastfood-yes,,,,,,,,,
,food_healthy-no,,,,,,,,,
,food_healthy-yes,,,,,,,,,
,new_restaurant-czech,,,,,,,,,
,new_restaurant-indian,,,,,,,,,
,new_restaurant-lebanese,,,,,,,,,
,new_restaurant-pizza,,,,,,,,,
,food_diet-no_meat,,,,,,,,,
,food_diet-vegetarian,,,,,,,,,
,food_diet-vegan,,,,,,,,,
,food_diet-gluten_free,,,,,,,,,
,food_diet-low_carb,,,,,,,,,
,food_diet-raw,,,,,,,,,
,food_diet-other_diet,,,,,,,,,
,quick_decision-negative,,,,,,,,,
,quick_decision-positive,,,,,,,,,
,leisure_activity_monthly_1-crosswords,,,,,,,,,
,leisure_activity_monthly_1-handcraft,,,,,,,,,
,leisure_activity_monthly_1-diy,,,,,,,,,
,leisure_activity_monthly_3-cafe,,,,,,,,,
,leisure_activity_monthly_3-walk,,,,,,,,,
,family_frequency-weekly,,,,,,,,,
,family_frequency-monthly,,,,,,,,,
